wellbore,year,yearly_oil_sm3,yearly_gas_sm3,yearly_water_sm3
15/9-F-1 C,2014,103185.4,15224593.9,39725.83
15/9-F-1 C,2015,62235.27,9251265.61,119742.53
15/9-F-1 C,2016,12288.66,1965059.09,47834.03
15/9-F-11,2013,156100.83,24000890.08,12774.63
15/9-F-11,2014,362223.03,54777200.87,70099.54
15/9-F-11,2015,465817.6,69353256.81,382001.45
15/9-F-11,2016,163707.64,26179172.85,625930.65
15/9-F-12,2008,1173446.66,172189538.77,22526.83
15/9-F-12,2009,1522540.54,213005138.6,53370.56
15/9-F-12,2010,873827.95,125698981.5,905532.2
15/9-F-12,2011,339718.07,51843939.96,1060416.0
15/9-F-12,2012,225822.36,36029598.38,1339752.2
15/9-F-12,2013,138153.5,22455057.49,1442132.29
15/9-F-12,2014,57998.8,8830910.2,1404952.69
15/9-F-12,2015,200201.18,29837371.93,341147.48
15/9-F-12,2016,47900.49,7651741.19,263490.12
15/9-F-14,2008,590928.49,84849047.94,982.11
15/9-F-14,2009,1161851.5,162976873.91,178733.18
15/9-F-14,2010,816074.6,118249392.31,982062.58
15/9-F-14,2011,508247.33,78476255.38,1130224.28
15/9-F-14,2012,348383.97,54179044.58,769849.43
15/9-F-14,2013,263758.2,41131829.04,1121458.87
15/9-F-14,2014,151564.46,22745362.67,1200917.21
15/9-F-14,2015,78395.71,11722378.76,1147773.53
15/9-F-14,2016,23029.13,3679357.43,589248.55
15/9-F-15 D,2014,68135.8,10213806.94,375.65
15/9-F-15 D,2015,55099.3,8259570.83,19160.87
15/9-F-15 D,2016,25283.46,4031973.18,32829.88
15/9-F-4,2007,,,
15/9-F-4,2008,,,
15/9-F-4,2009,,,
15/9-F-4,2010,,,
15/9-F-4,2011,,,
15/9-F-4,2012,,,
15/9-F-4,2013,,,
15/9-F-4,2014,,,
15/9-F-4,2015,,,
15/9-F-4,2016,,,
15/9-F-5,2007,,,
15/9-F-5,2008,,,
15/9-F-5,2009,,,
15/9-F-5,2010,,,
15/9-F-5,2011,,,
15/9-F-5,2012,,,
15/9-F-5,2013,,,
15/9-F-5,2014,,,
15/9-F-5,2015,,,
15/9-F-5,2016,41160.68,6561825.74,13533.18
